37667	2
37670	1
37673	1
37674	1
37675	1
37676	2
37677	3
37678	1
37679	1
37680	1
37681	3
37682	3
37683	4
37684	2
37685	3
37686	3
37687	16
37688	28
37689	34
37690	33
37691	14
37692	21
37693	22
37694	17
37695	25
37696	25
37697	34
37698	25
37699	13
37700	25
37701	18
37702	25
37703	32
37704	109
37705	111
37706	82
37707	65
37708	53
37709	39
37710	35
37711	56
37712	40
37713	29
37714	37
37715	30
37716	46
37717	40
37718	38
37719	27
37720	23
37721	16
37722	34
37723	25
37724	20
37725	21
37726	28
37727	21
37728	18
37729	24
37730	15
37731	14
37732	7
37733	12
37734	14
37735	11
37736	12
37737	15
37738	8
37739	13
37740	3
37741	10
37742	2
37743	4
37744	8
37745	4
37746	1
37747	4
37748	6
37749	9
37750	3
37751	2
37752	2
37753	6
37754	1
37755	3
37756	2
37757	1
37759	1
37761	1
37762	2
